kind,asset_group,cloud,current_template,current_example_prd,target_template,target_example_prd,chars_current,chars_target,issue_type,action
features-delta-one,cefi,aws,unified-trading-features-delta-one-cefi-${AWS_ACCOUNT_ID},unified-trading-features-delta-one-cefi-427895769566,features-delta-one-cefi-${AWS_ACCOUNT_ID},features-delta-one-cefi-427895769566,52,36,prefix_drift,drop_prefix
features-delta-one,tradfi,aws,unified-trading-features-delta-one-tradfi-${AWS_ACCOUNT_ID},unified-trading-features-delta-one-tradfi-427895769566,features-delta-one-tradfi-${AWS_ACCOUNT_ID},features-delta-one-tradfi-427895769566,54,38,prefix_drift,drop_prefix
features-delta-one,defi,aws,unified-trading-features-delta-one-defi-${AWS_ACCOUNT_ID},unified-trading-features-delta-one-defi-427895769566,features-delta-one-defi-${AWS_ACCOUNT_ID},features-delta-one-defi-427895769566,52,36,prefix_drift,drop_prefix
features-delta-one,prediction,aws,unified-trading-features-delta-one-pred-${AWS_ACCOUNT_ID},unified-trading-features-delta-one-pred-427895769566,features-delta-one-pred-${AWS_ACCOUNT_ID},features-delta-one-pred-427895769566,52,36,prefix_drift,drop_prefix
features-delta-one,sports,aws,unified-trading-features-delta-one-sports-${AWS_ACCOUNT_ID},unified-trading-features-delta-one-sports-427895769566,features-delta-one-sports-${AWS_ACCOUNT_ID},features-delta-one-sports-427895769566,54,38,prefix_drift,drop_prefix
features-volatility,cefi,aws,unified-trading-features-volatility-cefi-${AWS_ACCOUNT_ID},unified-trading-features-volatility-cefi-427895769566,features-volatility-cefi-${AWS_ACCOUNT_ID},features-volatility-cefi-427895769566,53,37,prefix_drift,drop_prefix
features-volatility,tradfi,aws,unified-trading-features-volatility-tradfi-${AWS_ACCOUNT_ID},unified-trading-features-volatility-tradfi-427895769566,features-volatility-tradfi-${AWS_ACCOUNT_ID},features-volatility-tradfi-427895769566,55,39,prefix_drift,drop_prefix
features-volatility,defi,aws,unified-trading-features-volatility-defi-${AWS_ACCOUNT_ID},unified-trading-features-volatility-defi-427895769566,features-volatility-defi-${AWS_ACCOUNT_ID},features-volatility-defi-427895769566,53,37,prefix_drift,drop_prefix
features-volatility,prediction,aws,unified-trading-features-volatility-pred-${AWS_ACCOUNT_ID},unified-trading-features-volatility-pred-427895769566,features-volatility-pred-${AWS_ACCOUNT_ID},features-volatility-pred-427895769566,53,37,prefix_drift,drop_prefix
features-volatility,sports,aws,unified-trading-features-volatility-sports-${AWS_ACCOUNT_ID},unified-trading-features-volatility-sports-427895769566,features-volatility-sports-${AWS_ACCOUNT_ID},features-volatility-sports-427895769566,55,39,prefix_drift,drop_prefix
