asset_group,venue_token,data_type,batch_files,live_files,has_batch,has_live,parity_status,sample_batch_path,sample_live_path
cefi,aster,liquidations,1,0,True,False,BATCH_ONLY,market-tick-data-service/market_tick_data_service/market_interface/adapters/onchain_perps/aster_adapter.py,
cefi,aster,trades,2,0,True,False,BATCH_ONLY,market-tick-data-service/market_tick_data_service/market_interface/adapters/onchain_perps/aster_adapter.py,
cefi,deribit,trades,1,0,True,False,BATCH_ONLY,market-tick-data-service/market_tick_data_service/market_interface/adapters/deribit_ws_mixin.py,
cefi,hyperliquid,book_snapshot_5,1,0,True,False,BATCH_ONLY,market-tick-data-service/market_tick_data_service/adapters/hyperliquid_s3.py,
cefi,hyperliquid,derivative_ticker,1,0,True,False,BATCH_ONLY,market-tick-data-service/market_tick_data_service/market_interface/adapters/onchain_perps/hyperliquid_adapter.py,
cefi,hyperliquid,liquidations,1,0,True,False,BATCH_ONLY,market-tick-data-service/market_tick_data_service/adapters/hyperliquid_s3.py,
cefi,hyperliquid,trades,2,0,True,False,BATCH_ONLY,market-tick-data-service/market_tick_data_service/market_interface/adapters/onchain_perps/hyperliquid_adapter.py,
defi,curve,dex_pools,1,0,True,False,BATCH_ONLY,market-tick-data-service/market_tick_data_service/cli/handlers/schema_validation.py,
defi,curve,dex_swaps,1,0,True,False,BATCH_ONLY,market-tick-data-service/market_tick_data_service/cli/handlers/schema_validation.py,
defi,jito,lst_rates,2,0,True,False,BATCH_ONLY,market-tick-data-service/market_tick_data_service/cli/handlers/solana_lst_archival.py,
defi,morpho,lending_indices,1,0,True,False,BATCH_ONLY,market-tick-data-service/market_tick_data_service/cli/handlers/evm_defi_handler.py,
prediction,kalshi,trades,2,0,True,False,BATCH_ONLY,market-data-processing-service/market_data_processing_service/app/adapters/prediction/trades_adapter.py,
prediction,polymarket,trades,2,0,True,False,BATCH_ONLY,market-tick-data-service/market_tick_data_service/market_interface/adapters/sports/polymarket_adapter.py,
