repo,rel_path,file_kind,total_violations,has_log_upload_trap,manifest_v8,record_emission,typed_empty_reason,classify_venue_error,resolve_bucket_name,lifecycle_class,no_hardcoded_venue_urls,no_hardcoded_venue_universe,uac_import_surface
market-tick-data-service,tests/market_interface/integration/test_vcr_ac_schema_validation.py,other,25,0,0,0,0,0,0,0,0,0,25
unified-trading-library,tests/unit/test_domain_config_reloader.py,gcs_user,25,0,0,0,0,0,25,0,0,0,0
deployment-service,tests/unit/test_cloud_client.py,gcs_user,23,0,0,0,0,0,23,0,0,0,0
unified-trading-library,tests/unit/test_reader_fallback_chain.py,gcs_user,23,0,0,0,0,0,22,0,0,0,1
instruments-service,instruments_service/engine/orchestrator.py,manifest_writer,17,0,0,0,0,0,0,0,0,0,17
deployment-api,deployment_api/services/data_status_drilldown.py,gcs_user,16,0,0,0,0,0,15,0,0,0,1
system-integration-tests,tests/smoke/test_mock_scenarios.py,other,16,0,0,0,0,0,0,0,0,0,16
position-balance-monitor-service,tests/position_interface/integration/test_vcr_position_schemas.py,other,15,0,0,0,0,0,0,0,0,0,15
unified-trading-library,tests/cloud_interface/unit/test_bucket_naming.py,gcs_user,15,0,0,0,0,0,15,0,0,0,0
unified-trading-library,tests/unit/test_config_reloader.py,gcs_user,14,0,0,0,0,0,14,0,0,0,0
deployment-api,tests/unit/test_service_status_execution.py,gcs_user,13,0,0,0,0,0,13,0,0,0,0
deployment-service,tests/unit/test_cleanup_old_tarballs.py,gcs_user,13,0,0,0,0,0,13,0,0,0,0
strategy-service,strategy_service/models/instruction.py,other,13,0,0,0,0,0,0,0,0,0,13
market-tick-data-service,market_tick_data_service/engine/orchestrator.py,manifest_writer,12,0,0,0,3,0,0,0,0,0,9
execution-service,tests/trade_execution/integration/test_vcr_schema_validation.py,other,11,0,0,0,0,0,0,0,0,0,11
unified-trading-library,tests/unit/lifecycle/test_uploader.py,gcs_user,11,0,0,0,0,0,11,0,0,0,0
deployment-api,deployment_api/routes/services.py,gcs_user,10,0,0,0,0,0,10,0,0,0,0
deployment-api,tests/unit/test_pool_breakdown.py,gcs_user,10,0,0,0,0,0,10,0,0,0,0
strategy-service,strategy_service/engine/core/gcs_storage_service.py,gcs_user,10,0,0,0,0,0,10,0,0,0,0
unified-trading-library,tests/unit/test_domain_client_writers.py,gcs_user,10,0,0,0,0,0,10,0,0,0,0
deployment-api,tests/unit/test_config_management.py,gcs_user,9,0,0,0,0,0,9,0,0,0,0
deployment-api,tests/unit/test_route_monitor_live.py,other,9,0,0,0,0,0,0,0,0,0,9
deployment-api,tests/unit/test_route_monitor_scheduled.py,other,9,0,0,0,0,0,0,0,0,0,9
deployment-api,tests/unit/test_route_services.py,gcs_user,9,0,0,0,0,0,9,0,0,0,0
deployment-service,tests/fixtures/cloud_fixtures.py,gcs_user,9,0,0,0,0,0,9,0,0,0,0
execution-service,tests/unit/cli/test_backtest_config.py,gcs_user,9,0,0,0,0,0,9,0,0,0,0
market-data-processing-service,tests/unit/test_canonical_writer_ohlcv_1h_policy.py,manifest_writer,9,0,0,0,0,0,0,0,0,0,9
market-tick-data-service,tests/market_interface/integration/test_library_deps_integration.py,other,9,0,0,0,0,0,0,0,0,0,9
system-integration-tests,tests/abbreviated/test_contract_normalization.py,gcs_user,9,0,0,0,0,0,3,0,0,0,6
unified-trading-library,tests/unit/test_manifest_writer_capture_status.py,manifest_writer,9,0,0,0,9,0,0,0,0,0,0
unified-trading-library,unified_trading_library/features_interface/external_urls.py,other,9,0,0,0,0,0,0,0,9,0,0
deployment-api,tests/integration/test_functional_deps.py,other,8,0,0,0,0,0,0,0,0,0,8
execution-service,execution_service/utils/dependency_checker.py,gcs_user,8,0,0,0,0,0,8,0,0,0,0
instruments-service,instruments_service/reference_data/adapters/sports/adapters/api_football.py,handler,8,0,0,0,0,2,0,0,0,0,6
strategy-service,tests/unit/test_domain_event_logger_expanded.py,other,8,0,0,0,0,0,0,0,0,0,8
system-integration-tests,tests/integration/test_interface_mock_chains.py,other,8,0,0,0,0,0,0,0,0,0,8
unified-api-contracts,tests/internal/unit/test_synthetic_generator.py,gcs_user,8,0,0,0,0,0,8,0,0,0,0
deployment-service,scripts/setup-buckets.py,gcs_user,7,0,0,0,0,0,7,0,0,0,0
deployment-service,tests/unit/test_cli_utils_misc.py,gcs_user,7,0,0,0,0,0,7,0,0,0,0
execution-service,tests/sports_execution/unit/exchanges/test_matchbook_adapter.py,handler,7,0,0,0,0,2,0,0,5,0,0
execution-service,tests/unit/cli/test_batch_backtest.py,gcs_user,7,0,0,0,0,0,7,0,0,0,0
execution-service,tests/unit/cli/test_config_loader.py,gcs_user,7,0,0,0,0,0,7,0,0,0,0
features-service,features_service/volatility/core/data_loader.py,gcs_user,7,0,0,0,0,0,7,0,0,0,0
market-tick-data-service,market_tick_data_service/cli/handlers/perp_funding_handler.py,handler,7,0,0,0,3,0,0,0,4,0,0
market-tick-data-service,market_tick_data_service/cli/handlers/staking_yields_handler.py,handler,7,0,0,0,3,0,0,0,4,0,0
market-tick-data-service,market_tick_data_service/market_interface/adapters/prediction/polymarket_adapter.py,handler,7,0,0,0,0,2,0,0,3,0,2
system-integration-tests,tests/smoke/test_mock_data_chain.py,other,7,0,0,0,0,0,0,0,0,0,7
deployment-service,tests/unit/test_cli_utils_data_status.py,gcs_user,6,0,0,0,0,0,6,0,0,0,0
execution-service,execution_service/defi_execution/protocols/aster.py,other,6,0,0,0,0,0,0,0,2,0,4
execution-service,execution_service/engine/validation/data_availability_validator.py,gcs_user,6,0,0,0,0,0,6,0,0,0,0
execution-service,execution_service/sports_execution/adapters/exchanges/polymarket_clob.py,handler,6,0,0,0,0,2,0,0,1,0,3
execution-service,tests/sports_execution/integration/test_vcr_betting_exchange_schemas.py,other,6,0,0,0,0,0,0,0,0,0,6
features-service,tests/onchain/unit/test_models.py,other,6,0,0,0,0,0,0,0,0,0,6
instruments-service,tests/unit/test_open_meteo_adapter_coverage.py,other,6,0,0,0,0,0,0,0,0,0,6
market-tick-data-service,tests/market_interface/unit/test_alchemy_transfers_client.py,other,6,0,0,0,0,0,0,0,0,0,6
market-tick-data-service,tests/unit/test_live_manifest_recorder.py,manifest_writer,6,0,0,0,0,0,4,0,0,0,2
unified-trading-library,tests/cloud_interface/unit/test_protocol_factory.py,gcs_user,6,0,0,0,0,0,6,0,0,0,0
unified-trading-library,tests/unit/test_dependency_checker.py,gcs_user,6,0,0,0,0,0,6,0,0,0,0
unified-trading-library,unified_trading_library/legacy_reason_classifier.py,other,6,0,0,0,0,0,0,0,0,0,6
deployment-api,deployment_api/services/shard_detail.py,gcs_user,5,0,0,0,0,0,5,0,0,0,0
deployment-service,deployment_service/cli/handlers/maintenance_handler.py,handler,5,0,0,1,0,0,4,0,0,0,0
deployment-service,scripts/vm/analyze_vm_costs.py,launcher,5,1,0,0,0,0,4,0,0,0,0
deployment-service,tests/conftest.py,gcs_user,5,0,0,0,0,0,5,0,0,0,0
deployment-service,tests/unit/test_smoke_test_framework.py,gcs_user,5,0,0,0,0,0,5,0,0,0,0
e2e-testing,scripts/sports/live_arb_scanner.py,other,5,0,0,0,0,0,0,0,4,0,1
execution-service,execution_service/sports_execution/adapters/exchanges/kalshi.py,handler,5,0,0,0,0,0,0,0,2,0,3
execution-service,execution_service/trade_execution/ws_feeds.py,handler,5,0,0,1,0,0,0,0,4,0,0
features-service,tests/onchain/unit/test_lst_yields_path_resolution.py,gcs_user,5,0,0,0,0,0,5,0,0,0,0
market-tick-data-service,market_tick_data_service/cli/handlers/gas_fee_handler.py,handler,5,0,0,0,3,0,0,0,0,0,2
market-tick-data-service,market_tick_data_service/cli/handlers/oracle_prices_handler.py,handler,5,0,0,0,3,0,0,0,2,0,0
market-tick-data-service,market_tick_data_service/market_interface/adapters/defi/balancer_adapter.py,handler,5,0,0,0,0,2,0,0,2,0,1
market-tick-data-service,market_tick_data_service/market_interface/adapters/defi/uniswapv2_adapter.py,handler,5,0,0,0,0,2,0,0,1,0,2
market-tick-data-service,market_tick_data_service/market_interface/adapters/sports/betfair_adapter.py,handler,5,0,0,0,0,2,0,0,2,0,1
market-tick-data-service,market_tick_data_service/market_interface/adapters/sports/odds_api_adapter.py,handler,5,0,0,0,0,2,0,0,1,0,2
market-tick-data-service,market_tick_data_service/market_interface/adapters/sports/polymarket_adapter.py,handler,5,0,0,0,0,2,0,0,2,0,1
strategy-service,tests/unit/test_coverage_uncovered_modules.py,other,5,0,0,0,0,0,0,0,0,0,5
system-integration-tests,tests/unit/test_honest_coverage_emission_flow.py,manifest_writer,5,0,0,0,5,0,0,0,0,0,0
unified-trading-api,unified_trading_api/models/permission_catalogue_data.py,other,5,0,0,0,0,0,0,0,0,5,0
