repo,rel_path,file_kind,reads_upstream_manifest,raises_dependency_error,raises_stale_upstream_error,catches_dep_error_silently,warns_but_proceeds,record_empty_blank,record_empty_freeform,review_blocking_violations
ml-inference-service,ml_inference_service/cli/handlers/batch_handler.py,batch_handler,False,1,0,0,2,0,0,2
ml-service,ml_service/inference/cli/handlers/batch_handler.py,batch_handler,False,1,0,0,2,0,0,2
strategy-service,strategy_service/cli/handlers/batch_handler.py,batch_handler,False,2,0,0,2,0,0,2
features-service,features_service/commodity/adapters/eia_crude.py,batch_handler,False,0,0,0,1,0,0,1
features-service,features_service/commodity/adapters/eia_ng.py,batch_handler,False,0,0,0,1,0,0,1
execution-service,execution_service/algo_library/deleverage_executor.py,batch_handler,False,0,0,0,0,0,0,0
execution-service,execution_service/v2/handlers.py,batch_handler,False,0,0,0,0,0,0,0
execution-service,tests/unit/defi_execution/test_health_factor_monitor.py,batch_handler,False,0,0,0,0,0,0,0
features-service,features_service/commodity/adapters/baker_hughes.py,batch_handler,False,0,0,0,0,0,0,0
features-service,features_service/commodity/adapters/base_source.py,batch_handler,False,0,0,0,0,0,0,0
features-service,features_service/commodity/adapters/cftc.py,batch_handler,False,0,0,0,0,0,0,0
features-service,features_service/commodity/adapters/open_meteo.py,batch_handler,False,0,0,0,0,0,0,0
features-service,features_service/commodity/adapters/yahoo_finance.py,batch_handler,False,0,0,0,0,0,0,0
market-tick-data-service,market_tick_data_service/market_interface/adapters/tradfi/databento_equity.py,batch_handler,False,0,0,0,0,0,0,0
ml-inference-service,ml_inference_service/cli/handlers/live_handler.py,live_handler,False,0,0,0,0,0,0,0
ml-service,ml_service/inference/cli/handlers/live_handler.py,live_handler,False,0,0,0,0,0,0,0
strategy-service,strategy_service/cli/handlers/group_b_handler.py,batch_handler,False,0,0,0,0,0,0,0
strategy-service,strategy_service/signal_broadcast/transport.py,batch_handler,False,0,0,0,0,0,0,0
