cloud,kind,asset_group,env,name,status
gcp,features-delta-one,CEFI,prd,features-delta-one-cefi-central-element-323112,PRESENT
gcp,features-delta-one,TRADFI,prd,features-delta-one-tradfi-central-element-323112,PRESENT
gcp,features-delta-one,DEFI,prd,features-delta-one-defi-central-element-323112,PRESENT
gcp,features-delta-one,PREDICTION,prd,features-delta-one-pred-central-element-323112,PRESENT
gcp,features-delta-one,SPORTS,prd,features-delta-one-sports-central-element-323112,PRESENT
gcp,features-volatility,CEFI,prd,features-volatility-cefi-central-element-323112,PRESENT
gcp,features-volatility,TRADFI,prd,features-volatility-tradfi-central-element-323112,PRESENT
gcp,features-volatility,DEFI,prd,features-volatility-defi-central-element-323112,PRESENT
gcp,features-volatility,PREDICTION,prd,features-volatility-pred-central-element-323112,PRESENT
gcp,features-volatility,SPORTS,prd,features-volatility-sports-central-element-323112,PRESENT
gcp,features-onchain,CEFI,prd,features-onchain-cefi-central-element-323112,PRESENT
gcp,features-onchain,DEFI,prd,features-onchain-defi-central-element-323112,PRESENT
gcp,features-xinstrument,CEFI,prd,features-xinstrument-cefi-central-element-323112,PRESENT
gcp,features-xinstrument,TRADFI,prd,features-xinstrument-tradfi-central-element-323112,PRESENT
gcp,features-xinstrument,DEFI,prd,features-xinstrument-defi-central-element-323112,PRESENT
gcp,features-xinstrument,PREDICTION,prd,features-xinstrument-pred-central-element-323112,PRESENT
gcp,features-xinstrument,SPORTS,prd,features-xinstrument-sports-central-element-323112,PRESENT
gcp,features-mtf,CEFI,prd,features-mtf-cefi-central-element-323112,PRESENT
gcp,features-mtf,TRADFI,prd,features-mtf-tradfi-central-element-323112,PRESENT
gcp,features-mtf,DEFI,prd,features-mtf-defi-central-element-323112,PRESENT
gcp,features-mtf,PREDICTION,prd,features-mtf-pred-central-element-323112,PRESENT
gcp,features-mtf,SPORTS,prd,features-mtf-sports-central-element-323112,PRESENT
gcp,ml-models-store,,prd,ml-models-store-prd-central-element-323112,PRESENT
gcp,ml-predictions-store,,prd,ml-predictions-store-prd-central-element-323112,PRESENT
gcp,ml-configs-store,,prd,ml-configs-store-prd-central-element-323112,PRESENT
gcp,ml-training-artifacts,,prd,ml-training-artifacts-central-element-323112,PRESENT
gcp,ml-artifacts,,prd,ml-artifacts-central-element-323112,PRESENT
gcp,strategy-store,,prd,strategy-store-central-element-323112,PRESENT
gcp,strategy-store-test,,prd,strategy-store-test-central-element-323112,PRESENT
gcp,execution-store,CEFI,prd,execution-store-cefi-central-element-323112,PRESENT
gcp,execution-store,TRADFI,prd,execution-store-tradfi-central-element-323112,PRESENT
gcp,execution-store,DEFI,prd,execution-store-defi-central-element-323112,PRESENT
gcp,features-sports,,prd,features-sports-prd-central-element-323112,PRESENT
gcp,features-commodity,,prd,commodity-signals-batch-central-element-323112,PRESENT
gcp,market-data,CEFI,prd,market-data-tick-cefi-prd-central-element-323112,PRESENT
gcp,market-data,DEFI,prd,market-data-tick-defi-prd-central-element-323112,PRESENT
gcp,market-data,TRADFI,prd,market-data-tick-tradfi-prd-central-element-323112,PRESENT
gcp,market-data,SPORTS,prd,market-data-tick-sports-prd-central-element-323112,PRESENT
gcp,instruments-store,CEFI,prd,instruments-store-cefi-prd-central-element-323112,PRESENT
gcp,instruments-store,DEFI,prd,instruments-store-defi-prd-central-element-323112,PRESENT
gcp,instruments-store,TRADFI,prd,instruments-store-tradfi-prd-central-element-323112,PRESENT
gcp,instruments-store,SPORTS,prd,instruments-store-sports-prd-central-element-323112,PRESENT
gcp,features-calendar,,prd,features-calendar-prd-central-element-323112,PRESENT
gcp,instruments-store-prediction,,prd,instruments-store-pred-prd-central-element-323112,PRESENT
gcp,market-data-tick-prediction,,prd,market-data-tick-pred-prd-central-element-323112,PRESENT
gcp,features-prediction,,prd,features-pred-prd-central-element-323112,PRESENT
gcp,strategy-store-prediction,,prd,strategy-store-pred-prd-central-element-323112,PRESENT
gcp,execution-store-prediction,,prd,execution-store-pred-prd-central-element-323112,PRESENT
