asset_group,service_kind,bucket,exists,rows,v8_rows,v_lt_8_rows,null_version_rows,captured,empty_confirmed,attempted_failed,error_summary
cefi,mtds,market-data-tick-cefi-prd-central-element-323112,OK,2626157,0,2626157,0,1301853,3296,1321008,
defi,mtds,market-data-tick-defi-prd-central-element-323112,OK,1036790,0,319930,716860,312731,723771,288,
tradfi,mtds,market-data-tick-tradfi-prd-central-element-323112,OK,133081,0,106368,26713,98573,29157,5351,
sports,mtds,market-data-tick-sports-prd-central-element-323112,OK,157500,0,157500,0,157174,326,0,
prediction,mtds,market-data-tick-pred-prd-central-element-323112,OK,15352,0,14532,820,14491,861,0,
cefi,instruments,instruments-store-cefi-prd-central-element-323112,OK,29822,0,29822,0,17698,0,0,
defi,instruments,instruments-store-defi-prd-central-element-323112,OK,127896,0,127896,0,70430,0,0,
tradfi,instruments,instruments-store-tradfi-prd-central-element-323112,OK,20198,0,20198,0,8897,0,0,
sports,instruments,instruments-store-sports-prd-central-element-323112,OK,2130028,0,2128772,1256,498533,1559875,65125,
prediction,instruments,instruments-store-pred-prd-central-element-323112,OK,3799,0,3799,0,795,0,0,
cefi,features-delta-one,features-delta-one-cefi-central-element-323112,ERROR,0,0,0,0,0,0,0,b/features-delta-one-cefi-central-element-323112/o/_index%2Favailability_index.parquet
defi,features-delta-one,features-delta-one-defi-central-element-323112,ERROR,0,0,0,0,0,0,0,b/features-delta-one-defi-central-element-323112/o/_index%2Favailability_index.parquet
tradfi,features-delta-one,features-delta-one-tradfi-central-element-323112,ERROR,0,0,0,0,0,0,0,b/features-delta-one-tradfi-central-element-323112/o/_index%2Favailability_index.parquet
sports,features-delta-one,features-delta-one-sports-central-element-323112,ERROR,0,0,0,0,0,0,0,b/features-delta-one-sports-central-element-323112/o/_index%2Favailability_index.parquet
cefi,features-volatility,features-volatility-cefi-central-element-323112,ERROR,0,0,0,0,0,0,0,b/features-volatility-cefi-central-element-323112/o/_index%2Favailability_index.parquet
defi,features-volatility,features-volatility-defi-central-element-323112,ERROR,0,0,0,0,0,0,0,b/features-volatility-defi-central-element-323112/o/_index%2Favailability_index.parquet
defi,features-onchain,features-onchain-defi-central-element-323112,ERROR,0,0,0,0,0,0,0,b/features-onchain-defi-central-element-323112/o/_index%2Favailability_index.parquet
sports,features-sports,features-sports-prd-central-element-323112,ERROR,0,0,0,0,0,0,0,b/features-sports-prd-central-element-323112/o/_index%2Favailability_index.parquet
shared,features-calendar,features-calendar-prd-central-element-323112,ERROR,0,0,0,0,0,0,0,b/features-calendar-prd-central-element-323112/o/_index%2Favailability_index.parquet
cefi,strategy,strategy-store-cefi-central-element-323112,OK,7,0,7,0,0,0,0,
defi,strategy,strategy-store-defi-central-element-323112,ERROR,0,0,0,0,0,0,0,b/strategy-store-defi-central-element-323112/o/_index%2Favailability_index.parquet
tradfi,strategy,strategy-store-tradfi-central-element-323112,ERROR,0,0,0,0,0,0,0,b/strategy-store-tradfi-central-element-323112/o/_index%2Favailability_index.parquet
cefi,execution,execution-store-cefi-central-element-323112,ERROR,0,0,0,0,0,0,0,b/execution-store-cefi-central-element-323112/o/_index%2Favailability_index.parquet
defi,execution,execution-store-defi-central-element-323112,ERROR,0,0,0,0,0,0,0,b/execution-store-defi-central-element-323112/o/_index%2Favailability_index.parquet
tradfi,execution,execution-store-tradfi-central-element-323112,ERROR,0,0,0,0,0,0,0,b/execution-store-tradfi-central-element-323112/o/_index%2Favailability_index.parquet
shared,ml-artifacts,ml-artifacts-central-element-323112,ERROR,0,0,0,0,0,0,0,b/ml-artifacts-central-element-323112/o
shared,ml-training,ml-training-artifacts-central-element-323112,ERROR,0,0,0,0,0,0,0,b/ml-training-artifacts-central-element-323112/o/_index%2Favailability_index.parquet
