repo,rel_path,v_lt_8_count,v8_indicator,legacy_fallback_count
unified-trading-library,tests/unit/test_manifest_migrations_v7_to_v8.py,0,False,17
unified-trading-library,unified_trading_library/manifest_migrations/v7_to_v8.py,0,False,12
unified-trading-library,tests/unit/test_manifest_writer_v7.py,0,True,7
unified-trading-library,tests/unit/test_manifest_writer_v6.py,0,True,4
deployment-api,deployment_api/services/data_status_service.py,0,False,3
deployment-api,tests/unit/test_data_status_service.py,0,False,3
market-tick-data-service,tests/unit/scripts/test_migrate_defi_canonical.py,0,False,3
unified-trading-library,tests/unit/test_manifest_writer_capture_status.py,0,True,3
unified-trading-library,unified_trading_library/manifest_reader_fallback.py,0,False,3
unified-trading-library,unified_trading_library/manifest_writer.py,1,True,2
market-data-processing-service,scripts/reprocess_sports_odds.py,0,False,2
market-tick-data-service,market_tick_data_service/engine/orchestrator.py,0,False,2
market-tick-data-service,market_tick_data_service/scripts/migrate_solana_defi_v4_to_v8.py,0,True,2
unified-api-contracts,unified_api_contracts/canonical/crosscutting/manifest_schema.py,1,False,1
deployment-api,deployment_api/services/data_status_drilldown.py,0,False,1
deployment-service,scripts/rebuild_sports_manifest.py,1,False,0
deployment-service,scripts/vm/vm_zombie_watchdog.py,0,False,1
instruments-service,scripts/enumerate_expected_universe.py,0,False,1
instruments-service,scripts/migrate_defi_legacy_venue_chain.py,0,False,1
instruments-service,scripts/migrate_solana_bare_name_venues.py,0,False,1
instruments-service,scripts/reconcile_attempted_failed_to_captured_2026_05_13.py,0,False,1
instruments-service,scripts/reconcile_blank_error_reason_rows.py,0,False,1
instruments-service,scripts/reconcile_phantom_manifest_rows_all.py,0,False,1
unified-api-contracts,scripts/generate_instrument_catalogue.py,0,False,1
unified-trading-library,unified_trading_library/legacy_reason_classifier.py,0,False,1
unified-trading-library,unified_trading_library/manifest_consolidator.py,0,False,1
batch-live-reconciliation-service,batch_live_reconciliation_service/stages/stage0_manifest_reason_check.py,0,False,0
batch-live-reconciliation-service,tests/unit/test_manifest_reason_check.py,0,False,0
deployment-api,deployment_api/routes/builds.py,0,False,0
deployment-api,deployment_api/routes/builds_history.py,0,False,0
deployment-api,deployment_api/routes/data_status.py,0,False,0
deployment-api,deployment_api/routes/deployment_diff.py,0,False,0
deployment-api,deployment_api/routes/promote.py,0,False,0
deployment-api,deployment_api/scripts/data_status_rollup_worker.py,0,False,0
deployment-api,deployment_api/services/data_query_service.py,0,False,0
deployment-api,deployment_api/services/data_status_hierarchical.py,0,False,0
deployment-api,deployment_api/services/shard_detail.py,0,False,0
deployment-api,tests/integration/test_deploy_missing_skip_already_captured.py,0,False,0
deployment-api,tests/unit/conftest.py,0,False,0
deployment-api,tests/unit/test_builds_history.py,0,False,0
deployment-api,tests/unit/test_data_status_hierarchical.py,0,False,0
deployment-api,tests/unit/test_data_status_hierarchical_aws_path.py,0,False,0
deployment-api,tests/unit/test_data_status_live.py,0,True,0
deployment-api,tests/unit/test_drilldown_axis_depth_matches_ssot.py,0,False,0
deployment-api,tests/unit/test_drilldown_cache.py,0,False,0
deployment-api,tests/unit/test_legacy_reason_classifier_wiring.py,0,True,0
deployment-api,tests/unit/test_lookup_capture_status_branches.py,0,False,0
deployment-api,tests/unit/test_routes_data_status_capture_status.py,0,False,0
deployment-api,tests/unit/test_shard_detail_service.py,0,True,0
deployment-api,tests/unit/test_sports_shard_atom_drilldown_alignment.py,0,False,0
deployment-service,deployment_service/api/routes/ml_experiments.py,0,False,0
deployment-service,deployment_service/api/routes/state.py,0,False,0
deployment-service,deployment_service/cli/commands/data_status.py,0,False,0
deployment-service,deployment_service/cli/commands/deploy_missing.py,0,False,0
deployment-service,deployment_service/cli/utils/data_status_extended.py,0,False,0
deployment-service,deployment_service/cli/utils/manifest_reader.py,0,False,0
deployment-service,deployment_service/monitor.py,0,False,0
deployment-service,tests/unit/test_cloud_agnostic_paths.py,0,False,0
execution-service,tests/unit/test_cli_validation_and_grid_utils.py,0,False,0
features-service,features_service/calendar/engine/calendar_orchestrator.py,0,False,0
features-service,features_service/common/manifest_leg_guard.py,0,False,0
features-service,features_service/common/manifest_window_guard.py,0,False,0
features-service,features_service/onchain/engine/orchestrator.py,0,False,0
features-service,features_service/sports/cli/handlers/batch_handler.py,0,False,0
features-service,features_service/sports/compute/coverage_gate.py,0,False,0
features-service,scripts/calendar/smoke_matrix.py,0,True,0
features-service,scripts/commodity/smoke_matrix.py,0,True,0
features-service,scripts/cross_instrument/smoke_matrix.py,0,True,0
features-service,scripts/delta_one/smoke_matrix.py,0,True,0
features-service,scripts/multi_timeframe/smoke_matrix.py,0,True,0
features-service,scripts/onchain/smoke_matrix.py,0,True,0
features-service,scripts/sports/check_pipeline_completeness.py,0,False,0
features-service,scripts/sports/compute_sfi_progressive_only.py,0,False,0
features-service,scripts/sports/honest_coverage_report.py,0,False,0
features-service,scripts/sports/smoke_matrix.py,0,True,0
features-service,scripts/volatility/smoke_matrix.py,0,True,0
features-service,tests/common/test_manifest_leg_guard.py,0,False,0
features-service,tests/common/test_manifest_window_guard.py,0,False,0
features-service,tests/integration/test_manifest_aware_pipeline_smoke.py,0,False,0
instruments-service,instruments_service/api/data_status.py,0,False,0
instruments-service,instruments_service/cli/main.py,0,False,0
instruments-service,instruments_service/engine/orchestrator.py,0,True,0
instruments-service,scripts/audit_fixtures_via_api_football.py,0,False,0
instruments-service,scripts/backfill_per_league_record_empty.py,0,False,0
instruments-service,scripts/canonicalize_defi_manifest_data_types_2026_05_16.py,0,False,0
instruments-service,scripts/canonicalize_defi_manifest_data_types_option_g_2026_05_16.py,0,False,0
instruments-service,scripts/canonicalize_lending_indices_data_type_2026_05_16.py,0,False,0
instruments-service,scripts/canonicalize_manifest_league_ids.py,0,False,0
instruments-service,scripts/cefi_per_venue_capture_summary.py,0,False,0
instruments-service,scripts/dedup_phantom_after_recovery.py,0,False,0
instruments-service,scripts/dedupe_manifest_schema_drift.py,0,False,0
instruments-service,scripts/delete_phantom_rows_from_shards.py,0,True,0
instruments-service,scripts/fill_missing_player_stats.py,0,False,0
instruments-service,scripts/fix_manifest_venue_casing.py,0,False,0
instruments-service,scripts/flip_phantom_fixtures_zero_rows.py,0,True,0
instruments-service,scripts/flip_phantom_to_attempted_failed.py,0,False,0
instruments-service,scripts/full_polymarket_dump.py,0,False,0
instruments-service,scripts/measure_honest_coverage.py,0,False,0
instruments-service,scripts/migrate_bare_to_per_league.py,0,False,0
instruments-service,scripts/migrate_instrument_type_lowercase.py,0,False,0
instruments-service,scripts/migrate_leagues_kill_2026_05_07.py,0,False,0
instruments-service,scripts/migrate_sports_retired_types_2026_05_13.py,0,False,0
instruments-service,scripts/migrate_teams_cadence_2026_05_07.py,0,False,0
instruments-service,scripts/patch_prediction_shards.py,0,False,0
instruments-service,scripts/purge_deprecated_etf_manifest_rows_2026_05_16.py,0,False,0
instruments-service,scripts/purge_legacy_unsharded_manifest_rows.py,0,False,0
instruments-service,scripts/purge_pancakeswapv3_zksync.py,0,False,0
instruments-service,scripts/purge_pre_launch_manifest_rows.py,0,False,0
instruments-service,scripts/rebuild_cefi_manifest.py,0,False,0
instruments-service,scripts/reclassify_404_failures_to_empty.py,0,False,0
instruments-service,scripts/reconcile_cefi_tardis_thirdkey_drift_2026_05_07.py,0,False,0
instruments-service,scripts/reconcile_correct_legacy_blank_misflips_2026_05_13.py,0,False,0
instruments-service,scripts/reconcile_correct_legacy_blank_misflips_cefi_2026_05_13.py,0,False,0
instruments-service,scripts/reconcile_correct_legacy_blank_misflips_defi_2026_05_13.py,0,False,0
instruments-service,scripts/reconcile_corrupt_kebab_rows_lst_rates_oracle_prices_2026_05_16.py,0,False,0
instruments-service,scripts/reconcile_expected_absence_reasons.py,0,False,0
instruments-service,scripts/reconcile_legacy_blank_to_typed_reason.py,0,False,0
instruments-service,scripts/reconcile_legacy_nan_placeholder_bars.py,0,False,0
instruments-service,scripts/reconcile_lending_indices_phantom.py,0,False,0
instruments-service,scripts/reconcile_manifest_from_per_league_parquets.py,0,False,0
instruments-service,scripts/reconcile_phantom_manifest_rows.py,0,False,0
instruments-service,scripts/recover_fixtures_from_truthset.py,0,True,0
instruments-service,scripts/rescan_prediction_v4.py,0,False,0
instruments-service,scripts/rescan_sports_fixtures_canonical.py,0,True,0
instruments-service,scripts/rescan_sports_manifest.py,0,False,0
instruments-service,scripts/smoke_matrix.py,0,False,0
instruments-service,scripts/split_prediction_by_market.py,0,False,0
instruments-service,scripts/verify_instrument_manifest_coverage.py,0,False,0
instruments-service,scripts/write_phantom_reflip_per_vm_shard.py,0,False,0
instruments-service,tests/unit/cli/test_rolling_window_redo_all.py,0,False,0
instruments-service,tests/unit/migrations/test_backfill_defi_metadata.py,0,False,0
instruments-service,tests/unit/scripts/test_migrate_solana_bare_name_venues.py,0,False,0
instruments-service,tests/unit/test_league_partitioning.py,0,False,0
instruments-service,tests/unit/test_new_orchestrator.py,0,False,0
instruments-service,tests/unit/test_orchestrator_process.py,0,False,0
instruments-service,tests/unit/test_purge_legacy_unsharded_manifest_rows.py,0,False,0
instruments-service,tests/unit/test_reconcile_correct_legacy_blank_misflips_cefi_2026_05_13.py,0,False,0
instruments-service,tests/unit/test_reconcile_correct_legacy_blank_misflips_defi_2026_05_13.py,0,False,0
instruments-service,tests/unit/test_smoke_matrix.py,0,False,0
market-data-processing-service,market_data_processing_service/app/core/batch_workers.py,0,False,0
market-data-processing-service,market_data_processing_service/app/core/canonical_writer.py,0,True,0
market-data-processing-service,market_data_processing_service/app/core/dependency_checker.py,0,False,0
market-data-processing-service,market_data_processing_service/app/core/orchestration_service.py,0,False,0
market-data-processing-service,market_data_processing_service/app/core/orchestration_writer.py,0,False,0
market-data-processing-service,scripts/smoke_matrix.py,0,False,0
market-data-processing-service,tests/unit/test_canonical_writer_ohlcv_1h_policy.py,0,False,0
market-data-processing-service,tests/unit/test_canonical_writer_record_helpers.py,0,False,0
market-data-processing-service,tests/unit/test_check_shard_freshness_granular_rows_only.py,0,False,0
market-data-processing-service,tests/unit/test_smoke_matrix.py,0,False,0
market-tick-data-service,market_tick_data_service/cli/handlers/_defi_instruments.py,0,False,0
market-tick-data-service,market_tick_data_service/cli/handlers/_defi_manifest.py,0,False,0
market-tick-data-service,market_tick_data_service/cli/handlers/bridge_events_handler.py,0,False,0
market-tick-data-service,market_tick_data_service/cli/handlers/data_manifest_handler.py,0,False,0
market-tick-data-service,market_tick_data_service/cli/handlers/flash_loan_events_handler.py,0,False,0
market-tick-data-service,market_tick_data_service/cli/handlers/liquidation_events_handler.py,0,False,0
market-tick-data-service,market_tick_data_service/cli/handlers/token_transfers_handler.py,0,False,0
market-tick-data-service,market_tick_data_service/config/service_config.py,0,False,0
market-tick-data-service,market_tick_data_service/reader.py,0,False,0
market-tick-data-service,market_tick_data_service/scripts/migrate_deribit_margin_split_v6.py,0,False,0
market-tick-data-service,market_tick_data_service/scripts/migrate_mtds_defi_legacy_venue_underscore.py,0,False,0
market-tick-data-service,market_tick_data_service/scripts/rebuild_prediction_manifest.py,0,False,0
market-tick-data-service,scripts/audit_structural_checks.py,0,False,0
market-tick-data-service,scripts/cleanup_kraken_spot_empty_confirmed.py,0,False,0
market-tick-data-service,scripts/detect_zero_row_defi_manifest.py,0,False,0
market-tick-data-service,scripts/flip_cefi_bug_x2_leaked_text.py,0,True,0
market-tick-data-service,scripts/migrate_cefi_instrument_types.py,0,False,0
market-tick-data-service,scripts/migrate_tradfi_to_hive.py,0,False,0
market-tick-data-service,scripts/rebuild_mtds_manifest.py,0,False,0
market-tick-data-service,scripts/reconcile_market_tick_manifest.py,0,False,0
market-tick-data-service,scripts/rename_vault_venue_canonical.py,0,False,0
market-tick-data-service,scripts/smoke_matrix.py,0,False,0
market-tick-data-service,scripts/validate_manifest_coverage.py,0,False,0
market-tick-data-service,tests/market_interface/unit/test_canonical_parquet_reader.py,0,False,0
market-tick-data-service,tests/market_interface/unit/test_defi_handlers.py,0,False,0
market-tick-data-service,tests/unit/test_orchestrator_capture_status.py,0,False,0
market-tick-data-service,tests/unit/test_rebuild_prediction_manifest_force.py,0,False,0
market-tick-data-service,tests/unit/test_skipped_venue_expected_unattempted.py,0,False,0
market-tick-data-service,tests/unit/test_smoke_matrix.py,0,False,0
