asset_group,bucket,schema_version,row_count,error
cefi,instruments-store-cefi-prd-central-element-323112,4,12361,
cefi,instruments-store-cefi-prd-central-element-323112,6,18021,
cefi,market-data-tick-cefi-prd-central-element-323112,4,16224,
cefi,market-data-tick-cefi-prd-central-element-323112,5,30704,
cefi,market-data-tick-cefi-prd-central-element-323112,6,2246785,
cefi,market-data-tick-cefi-prd-central-element-323112,7,339218,
defi,instruments-store-defi-prd-central-element-323112,4,69630,
defi,instruments-store-defi-prd-central-element-323112,6,58266,
defi,market-data-tick-defi-prd-central-element-323112,6,308330,
defi,market-data-tick-defi-prd-central-element-323112,7,11600,
defi,market-data-tick-defi-prd-central-element-323112,<NA>,1286260,
prediction,instruments-store-pred-prd-central-element-323112,4,3145,
prediction,instruments-store-pred-prd-central-element-323112,6,795,
prediction,market-data-tick-pred-prd-central-element-323112,4,14296,
prediction,market-data-tick-pred-prd-central-element-323112,5,2,
prediction,market-data-tick-pred-prd-central-element-323112,6,234,
prediction,market-data-tick-pred-prd-central-element-323112,<NA>,2280,
sports,instruments-store-sports-prd-central-element-323112,2,434,
sports,instruments-store-sports-prd-central-element-323112,4,11752,
sports,instruments-store-sports-prd-central-element-323112,5,481109,
sports,instruments-store-sports-prd-central-element-323112,6,1409896,
sports,instruments-store-sports-prd-central-element-323112,7,759329,
sports,instruments-store-sports-prd-central-element-323112,<NA>,13176,
sports,market-data-tick-sports-prd-central-element-323112,4,17288,
sports,market-data-tick-sports-prd-central-element-323112,6,140212,
tradfi,instruments-store-tradfi-prd-central-element-323112,4,11301,
tradfi,instruments-store-tradfi-prd-central-element-323112,6,8897,
tradfi,market-data-tick-tradfi-prd-central-element-323112,4,16656,
tradfi,market-data-tick-tradfi-prd-central-element-323112,6,89272,
tradfi,market-data-tick-tradfi-prd-central-element-323112,7,440,
tradfi,market-data-tick-tradfi-prd-central-element-323112,<NA>,35033,
