asset_group,bucket,vm_shard,total_rows,v8_rows,v_lt_8_rows,null_rows,schema_versions_seen
sports,instruments-store-sports-prd-central-element-323112,_legacy_seed.20260506-120021.bak.parquet,1868303,0,1868303,0,"2,4,5,6"
sports,instruments-store-sports-prd-central-element-323112,blank-reason-recon-sports-20260507-175543.parquet,1868285,0,1868285,0,"5,6,7"
sports,instruments-store-sports-prd-central-element-323112,_legacy_seed.parquet,1812693,0,1812693,0,"2,4,5,6"
defi,market-data-tick-defi-prd-central-element-323112,expected-universe-enum-defi-20260507-155353.parquet,1286260,0,0,1286260,(empty)
cefi,market-data-tick-cefi-prd-central-element-323112,blank-reason-recon-cefi-20260507-173136.parquet,1238229,0,1238229,0,"5,6,7"
cefi,market-data-tick-cefi-prd-central-element-323112,local-99178-edc2.parquet,983904,0,983904,0,6
sports,instruments-store-sports-prd-central-element-323112,af-backfill-test-20260501-095.20260506-120021.bak.parquet,574599,0,574599,0,6
sports,instruments-store-sports-prd-central-element-323112,af-backfill-test-20260501-095.parquet,462082,0,462082,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,reconcile-tardis-thirdkey-drift-20260507-174536.parquet,451799,0,451799,0,"6,7"
sports,instruments-store-sports-prd-central-element-323112,af-backfill-20260429-105528.20260506-120021.bak.parquet,417838,0,417838,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,_legacy_seed.parquet,352028,0,352028,0,"4,5,6"
sports,instruments-store-sports-prd-central-element-323112,af-backfill-20260429-105528.parquet,340989,0,340989,0,6
sports,instruments-store-sports-prd-central-element-323112,af-backfill-20260507-033214.parquet,310494,0,310494,0,7
defi,market-data-tick-defi-prd-central-element-323112,local-10889-bd08.parquet,307341,0,307341,0,6
sports,instruments-store-sports-prd-central-element-323112,manifest-recon-from-per-league-parquets.20260506-120021.bak.parquet,292127,0,292127,0,5
defi,market-data-tick-defi-prd-central-element-323112,local-29870-9b39.parquet,275000,0,275000,0,6
sports,instruments-store-sports-prd-central-element-323112,manifest-recon-from-per-league-parquets.parquet,203809,0,203809,0,5
sports,instruments-store-sports-prd-central-element-323112,af-backfill-20260505-105528.20260506-120021.bak.parquet,190415,0,190415,0,6
sports,instruments-store-sports-prd-central-element-323112,flip-phantom-corrective-20260506-114110.20260506-120021.bak.parquet,176021,0,176021,0,"5,6"
sports,instruments-store-sports-prd-central-element-323112,af-backfill-20260507-002914.parquet,148770,0,148770,0,7
sports,instruments-store-sports-prd-central-element-323112,fs-backfill-20260507-010724.parquet,147164,0,147164,0,7
sports,instruments-store-sports-prd-central-element-323112,af-backfill-20260505-105528.parquet,134212,0,134212,0,6
sports,instruments-store-sports-prd-central-element-323112,manifest-canonicalize-league-ids.20260506-120021.bak.parquet,108969,0,108969,0,"5,6"
sports,instruments-store-sports-prd-central-element-323112,local-55602-8d93.parquet,104113,0,104113,0,6
sports,instruments-store-sports-prd-central-element-323112,weather-backfill-20260429-105525.parquet,100542,0,100542,0,6
sports,instruments-store-sports-prd-central-element-323112,manifest-canonicalize-league-ids.parquet,100386,0,100386,0,6
sports,instruments-store-sports-prd-central-element-323112,af-backfill-20260504-183526.20260506-120021.bak.parquet,98951,0,98951,0,6
sports,instruments-store-sports-prd-central-element-323112,weather-backfill-20260504-160617.parquet,86418,0,86418,0,6
sports,instruments-store-sports-prd-central-element-323112,weather-backfill-20260504-225316.parquet,81669,0,81669,0,6
sports,instruments-store-sports-prd-central-element-323112,sfi-backfill-20260501-102703.parquet,76063,0,76063,0,6
sports,instruments-store-sports-prd-central-element-323112,af-backfill-20260504-232814.20260506-120021.bak.parquet,75973,0,75973,0,6
sports,instruments-store-sports-prd-central-element-323112,fs-backfill-20260501-014139.parquet,75786,0,75786,0,6
sports,instruments-store-sports-prd-central-element-323112,fs-backfill-20260501-102703.parquet,75706,0,75706,0,6
