kind,asset_group,env,source,target,source_exists,source_object_count,target_created,synced_objects,spot_check_pass,spot_check_note,status,error
features-delta-one,cefi,prd,unified-trading-features-delta-one-cefi-prod-427895769566,features-delta-one-cefi-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
features-delta-one,tradfi,prd,unified-trading-features-delta-one-tradfi-prod-427895769566,features-delta-one-tradfi-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
features-delta-one,defi,prd,unified-trading-features-delta-one-defi-prod-427895769566,features-delta-one-defi-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
features-delta-one,prediction,prd,unified-trading-features-delta-one-pred-427895769566,features-delta-one-pred-427895769566,False,0,False,0,False,,skipped_no_source,
features-delta-one,sports,prd,unified-trading-features-delta-one-sports-427895769566,features-delta-one-sports-427895769566,False,0,False,0,False,,skipped_no_source,
features-volatility,cefi,prd,unified-trading-features-volatility-cefi-prod-427895769566,features-volatility-cefi-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
features-volatility,tradfi,prd,unified-trading-features-volatility-tradfi-prod-427895769566,features-volatility-tradfi-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
features-volatility,defi,prd,unified-trading-features-volatility-defi-427895769566,features-volatility-defi-427895769566,False,0,False,0,False,,skipped_no_source,
features-volatility,prediction,prd,unified-trading-features-volatility-pred-427895769566,features-volatility-pred-427895769566,False,0,False,0,False,,skipped_no_source,
features-volatility,sports,prd,unified-trading-features-volatility-sports-427895769566,features-volatility-sports-427895769566,False,0,False,0,False,,skipped_no_source,
features-onchain,cefi,prd,unified-trading-features-onchain-cefi-prod-427895769566,features-onchain-cefi-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
features-onchain,defi,prd,unified-trading-features-onchain-defi-prod-427895769566,features-onchain-defi-427895769566,True,0,True,0,True,source empty,skipped_empty_source,
features-xinstrument,cefi,prd,unified-trading-features-xinstrument-cefi-427895769566,features-xinstrument-cefi-427895769566,False,0,False,0,False,,skipped_no_source,
features-xinstrument,tradfi,prd,unified-trading-features-xinstrument-tradfi-427895769566,features-xinstrument-tradfi-427895769566,False,0,False,0,False,,skipped_no_source,
features-xinstrument,defi,prd,unified-trading-features-xinstrument-defi-427895769566,features-xinstrument-defi-427895769566,False,0,False,0,False,,skipped_no_source,
