asset_group,venue,data_type,date,expected_state,any_captured,any_empty,any_failed,row_count,triage_decision,triage_reason,triage_note,triage_date,triaged_by
defi,AAVEV3-OPTIMISM,flash_loan_events,2022-03-16,SHOULD_HAVE_DATA,False,True,False,1,phase_11_rebackfill,adapter_returned_empty_confirmed_when_should_have_data,AAVEV3-OPTIMISM flash_loan_events MTDS handler returned empty_confirmed; re-fetch needed,2026-05-21,slot-5
defi,AAVEV3-OPTIMISM,flash_loan_events,2022-03-17,SHOULD_HAVE_DATA,False,True,False,1,phase_11_rebackfill,adapter_returned_empty_confirmed_when_should_have_data,AAVEV3-OPTIMISM flash_loan_events MTDS handler returned empty_confirmed; re-fetch needed,2026-05-21,slot-5
defi,AAVEV3-OPTIMISM,flash_loan_events,2022-03-18,SHOULD_HAVE_DATA,False,True,False,1,phase_11_rebackfill,adapter_returned_empty_confirmed_when_should_have_data,AAVEV3-OPTIMISM flash_loan_events MTDS handler returned empty_confirmed; re-fetch needed,2026-05-21,slot-5
defi,AAVEV3-OPTIMISM,flash_loan_events,2022-03-19,SHOULD_HAVE_DATA,False,True,False,1,phase_11_rebackfill,adapter_returned_empty_confirmed_when_should_have_data,AAVEV3-OPTIMISM flash_loan_events MTDS handler returned empty_confirmed; re-fetch needed,2026-05-21,slot-5
defi,AAVEV3-OPTIMISM,flash_loan_events,2022-03-20,SHOULD_HAVE_DATA,False,True,False,1,phase_11_rebackfill,adapter_returned_empty_confirmed_when_should_have_data,AAVEV3-OPTIMISM flash_loan_events MTDS handler returned empty_confirmed; re-fetch needed,2026-05-21,slot-5
defi,AAVEV3-OPTIMISM,flash_loan_events,2022-03-21,SHOULD_HAVE_DATA,False,True,False,1,phase_11_rebackfill,adapter_returned_empty_confirmed_when_should_have_data,AAVEV3-OPTIMISM flash_loan_events MTDS handler returned empty_confirmed; re-fetch needed,2026-05-21,slot-5
defi,AAVEV3-OPTIMISM,flash_loan_events,2022-03-22,SHOULD_HAVE_DATA,False,True,False,1,phase_11_rebackfill,adapter_returned_empty_confirmed_when_should_have_data,AAVEV3-OPTIMISM flash_loan_events MTDS handler returned empty_confirmed; re-fetch needed,2026-05-21,slot-5
defi,AAVEV3-OPTIMISM,flash_loan_events,2022-03-23,SHOULD_HAVE_DATA,False,True,False,1,phase_11_rebackfill,adapter_returned_empty_confirmed_when_should_have_data,AAVEV3-OPTIMISM flash_loan_events MTDS handler returned empty_confirmed; re-fetch needed,2026-05-21,slot-5
defi,AAVEV3-OPTIMISM,flash_loan_events,2022-03-24,SHOULD_HAVE_DATA,False,True,False,1,phase_11_rebackfill,adapter_returned_empty_confirmed_when_should_have_data,AAVEV3-OPTIMISM flash_loan_events MTDS handler returned empty_confirmed; re-fetch needed,2026-05-21,slot-5
defi,AAVEV3-OPTIMISM,flash_loan_events,2022-03-25,SHOULD_HAVE_DATA,False,True,False,1,phase_11_rebackfill,adapter_returned_empty_confirmed_when_should_have_data,AAVEV3-OPTIMISM flash_loan_events MTDS handler returned empty_confirmed; re-fetch needed,2026-05-21,slot-5
defi,AAVEV3-OPTIMISM,flash_loan_events,2022-03-26,SHOULD_HAVE_DATA,False,True,False,1,phase_11_rebackfill,adapter_returned_empty_confirmed_when_should_have_data,AAVEV3-OPTIMISM flash_loan_events MTDS handler returned empty_confirmed; re-fetch needed,2026-05-21,slot-5
