window_id,event_name,event_type,recurrence,start_utc,end_utc,dst_note,block_autonomous,block_prod_deploy,affects_venues,notes
US_CLOSE_DAILY,US Market Close,market_close,daily,20:55,21:05,US DST (Mar-Nov): 19:55-20:05 UTC,true,true,"binance,coinbase,deribit,bybit,okx,databento,ibkr","NYSE/NASDAQ closing auction; high vol window"
EU_OPEN_DAILY,EU Market Open,market_open,daily,06:55,07:05,EU DST (Mar-Oct): 05:55-06:05 UTC,true,true,"databento,ibkr,ecb","LSE/Euronext opening auction; gap risk"
OPT_EXPIRY_2026_01,Options Expiry Jan,options_expiry,3rd_friday_monthly,2026-01-16T19:00,2026-01-16T21:30,,true,true,"deribit,ibkr,databento","Monthly options/futures expiry; pin risk"
OPT_EXPIRY_2026_02,Options Expiry Feb,options_expiry,3rd_friday_monthly,2026-02-20T19:00,2026-02-20T21:30,,true,true,"deribit,ibkr,databento","Monthly options/futures expiry; pin risk"
OPT_EXPIRY_2026_03,Options Expiry Mar,options_expiry,3rd_friday_monthly,2026-03-20T19:00,2026-03-20T21:30,,true,true,"deribit,ibkr,databento","Quarterly expiry (triple witching)"
OPT_EXPIRY_2026_04,Options Expiry Apr,options_expiry,3rd_friday_monthly,2026-04-17T19:00,2026-04-17T21:30,,true,true,"deribit,ibkr,databento","Monthly options/futures expiry; pin risk"
OPT_EXPIRY_2026_05,Options Expiry May,options_expiry,3rd_friday_monthly,2026-05-15T19:00,2026-05-15T21:30,,true,true,"deribit,ibkr,databento","Monthly options/futures expiry; pin risk"
OPT_EXPIRY_2026_06,Options Expiry Jun,options_expiry,3rd_friday_monthly,2026-06-19T19:00,2026-06-19T21:30,,true,true,"deribit,ibkr,databento","Quarterly expiry (triple witching)"
OPT_EXPIRY_2026_07,Options Expiry Jul,options_expiry,3rd_friday_monthly,2026-07-17T19:00,2026-07-17T21:30,,true,true,"deribit,ibkr,databento","Monthly options/futures expiry; pin risk"
OPT_EXPIRY_2026_08,Options Expiry Aug,options_expiry,3rd_friday_monthly,2026-08-21T19:00,2026-08-21T21:30,,true,true,"deribit,ibkr,databento","Monthly options/futures expiry; pin risk"
OPT_EXPIRY_2026_09,Options Expiry Sep,options_expiry,3rd_friday_monthly,2026-09-18T19:00,2026-09-18T21:30,,true,true,"deribit,ibkr,databento","Quarterly expiry (triple witching)"
OPT_EXPIRY_2026_10,Options Expiry Oct,options_expiry,3rd_friday_monthly,2026-10-16T19:00,2026-10-16T21:30,,true,true,"deribit,ibkr,databento","Monthly options/futures expiry; pin risk"
OPT_EXPIRY_2026_11,Options Expiry Nov,options_expiry,3rd_friday_monthly,2026-11-20T19:00,2026-11-20T21:30,,true,true,"deribit,ibkr,databento","Monthly options/futures expiry; pin risk"
