workflow	source	provenance_sha	captured_from
agent-audit.yml	worktree	ff454523d	never flipped
agent-runner.yml	worktree	ff454523d	never flipped
branch-health.yml	worktree	ff454523d	never flipped
build-smoke-all-repos.yml	worktree	ff454523d	never flipped
cascade-qg-ordering.yml	worktree	ff454523d	never flipped
cassette-drift-check.yml	worktree	ff454523d	never flipped
change-freeze-check.yml	worktree	ff454523d	never flipped
ci-health.yml	worktree	ff454523d	never flipped
ci-status-consolidator.yml	history	23ce709cc07cfe86da70ebc63803a56a21768365^	pre-flip parent of 23ce709cc
ci-status-update.yml	worktree	ff454523d	never flipped
cloud-build-failure-watcher.yml	worktree	ff454523d	never flipped
cloud-build-router-aws.yml	worktree	ff454523d	never flipped
cloud-build-router.yml	worktree	ff454523d	never flipped
cold-storage-cleanup.yml	history	23ce709cc07cfe86da70ebc63803a56a21768365^	pre-flip parent of 23ce709cc
conflict-resolution-agent.yml	history	23ce709cc07cfe86da70ebc63803a56a21768365^	pre-flip parent of 23ce709cc
conflict-resolution-merged.yml	worktree	ff454523d	never flipped
deterministic-promotion-conflict-resolve.yml	worktree	ff454523d	never flipped
digest-drift-sweep.yml	history	23ce709cc07cfe86da70ebc63803a56a21768365^	pre-flip parent of 23ce709cc
escalate-to-orchestrator.yml	worktree	ff454523d	never flipped
fix-approval-timeout.yml	worktree	ff454523d	never flipped
freeze-deferred-build-replay.yml	worktree	ff454523d	never flipped
hotfix-mode.yml	worktree	ff454523d	never flipped
image-build-validate.yml	worktree	ff454523d	never flipped
ldr-ci-monitor.yml	worktree	ff454523d	never flipped
ldr-to-main-promote-fleet.yml	worktree	ff454523d	never flipped
ldr-to-main-promote.yml	worktree	ff454523d	never flipped
ldr-to-staging-promote.yml	worktree	ff454523d	never flipped
main-backmerge-to-ldr.yml	worktree	ff454523d	never flipped
major-bump-issue-handler.yml	worktree	ff454523d	never flipped
notify-slack.yml	worktree	ff454523d	never flipped
overnight-agent-orchestrator.yml	worktree	ff454523d	never flipped
overnight-dead-man-switch.yml	worktree	ff454523d	never flipped
persist-cicd-event.yml	worktree	ff454523d	never flipped
plan-health-agent.yml	worktree	ff454523d	never flipped
plan-notification.yml	worktree	ff454523d	never flipped
publish-package.yml	worktree	ff454523d	never flipped
python-quality-gates-v2.yml	worktree	ff454523d	never flipped
quality-gates-v2.yml	worktree	ff454523d	never flipped
readiness-verifier.yml	history	23ce709cc07cfe86da70ebc63803a56a21768365^	pre-flip parent of 23ce709cc
reconcile-release-tags.yml	history	23ce709cc07cfe86da70ebc63803a56a21768365^	pre-flip parent of 23ce709cc
reconcile-staging-versions.yml	history	23ce709cc07cfe86da70ebc63803a56a21768365^	pre-flip parent of 23ce709cc
removed-symbols-workspace-sweep.yml	worktree	ff454523d	never flipped
request-major-bump.yml	worktree	ff454523d	never flipped
rules-alignment-agent.yml	worktree	ff454523d	never flipped
ruleset-drift-alert.yml	history	23ce709cc07cfe86da70ebc63803a56a21768365^	pre-flip parent of 23ce709cc
secret-health-check.yml	worktree	ff454523d	never flipped
semver-agent.yml	worktree	ff454523d	never flipped
sit-debounce-trigger.yml	worktree	ff454523d	never flipped
sit-gate.yml	worktree	ff454523d	never flipped
sit-unlock.yml	worktree	ff454523d	never flipped
staging-conflict-ldr-main-fallback.yml	history	23ce709cc07cfe86da70ebc63803a56a21768365^	pre-flip parent of 23ce709cc
staging-to-main.yml	worktree	ff454523d	never flipped
supersede-stale-dep-update-prs.yml	worktree	ff454523d	never flipped
update-repo-version.yml	worktree	ff454523d	never flipped
version-registry-update.yml	worktree	ff454523d	never flipped
workspace-quickmerge-validation.yml	history	940a5d6732872f948992a0bc04edf0b03ffa0359^	pre-flip parent of 940a5d673
